time,FR_HIP_mode,FR_HIP_kp,FR_HIP_kd,FR_HIP_q_r,FR_HIP_dq_r,FR_HIP_tau,FR_HIP_q,FR_HIP_dq,FR_THIGH_mode,FR_THIGH_kp,FR_THIGH_kd,FR_THIGH_q_r,FR_THIGH_dq_r,FR_THIGH_tau,FR_THIGH_q,FR_THIGH_dq,FR_CALF_mode,FR_CALF_kp,FR_CALF_kd,FR_CALF_q_r,FR_CALF_dq_r,FR_CALF_tau,FR_CALF_q,FR_CALF_dq,FL_HIP_mode,FL_HIP_kp,FL_HIP_kd,FL_HIP_q_r,FL_HIP_dq_r,FL_HIP_tau,FL_HIP_q,FL_HIP_dq,FL_THIGH_mode,FL_THIGH_kp,FL_THIGH_kd,FL_THIGH_q_r,FL_THIGH_dq_r,FL_THIGH_tau,FL_THIGH_q,FL_THIGH_dq,FL_CALF_mode,FL_CALF_kp,FL_CALF_kd,FL_CALF_q_r,FL_CALF_dq_r,FL_CALF_tau,FL_CALF_q,FL_CALF_dq,BR_HIP_mode,BR_HIP_kp,BR_HIP_kd,BR_HIP_q_r,BR_HIP_dq_r,BR_HIP_tau,BR_HIP_q,BR_HIP_dq,BR_THIGH_mode,BR_THIGH_kp,BR_THIGH_kd,BR_THIGH_q_r,BR_THIGH_dq_r,BR_THIGH_tau,BR_THIGH_q,BR_THIGH_dq,BR_CALF_mode,BR_CALF_kp,BR_CALF_kd,BR_CALF_q_r,BR_CALF_dq_r,BR_CALF_tau,BR_CALF_q,BR_CALF_dq,BL_HIP_mode,BL_HIP_kp,BL_HIP_kd,BL_HIP_q_r,BL_HIP_dq_r,BL_HIP_tau,BL_HIP_q,BL_HIP_dq,BL_THIGH_mode,BL_THIGH_kp,BL_THIGH_kd,BL_THIGH_q_r,BL_THIGH_dq_r,BL_THIGH_tau,BL_THIGH_q,BL_THIGH_dq,BL_CALF_mode,BL_CALF_kp,BL_CALF_kd,BL_CALF_q_r,BL_CALF_dq_r,BL_CALF_tau,BL_CALF_q,BL_CALF_dq,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0.107326,-0.0348797,0,0,0,0,0,0,1.32196,0,0,0,0,0,0,0,-2.83484,-0.0363962,0,0,0,0,0,0,-0.0580346,-0.081386,0,0,0,0,0,0,1.30255,-0.0542573,0,0,0,0,0,0,-2.80473,0.00202201,0,0,0,0,0,0,-0.296763,0.0387552,0,0,0,0,0,0,1.31639,0.0465063,0,0,0,0,0,0,-2.81375,0.00808805,0,0,0,0,0,0,0.31611,-0.00387552,0,0,0,0,0,0,1.309,0.00387552,0,0,0,0,0,0,-2.81089,0.00404402,
3,0,0,0,0,0,0,0.107326,-0.0310042,0,0,0,0,0,0,1.32196,0,0,0,0,0,0,0,-2.83484,-0.0465063,0,0,0,0,0,0,-0.0580346,-0.073635,0,0,0,0,0,0,1.30255,0.0116266,0,0,0,0,0,0,-2.80471,0.0202201,0,0,0,0,0,0,-0.296793,-0.0232531,0,0,0,0,0,0,1.31639,0.0348797,0,0,0,0,0,0,-2.81375,-0.0202201,0,0,0,0,0,0,0.31614,0.0310042,0,0,0,0,0,0,1.30897,-0.0581329,0,0,0,0,0,0,-2.81089,-0.00808805,
4,0,0,0,0,0,0,0.107357,0.0271287,0,0,0,0,0,0,1.32199,0.0581329,0,0,0,0,0,0,-2.83481,-0.00606604,0,0,0,0,0,0,-0.057974,0.0155021,0,0,0,0,0,0,1.30255,-0.0542573,0,0,0,0,0,0,-2.80473,0,0,0,0,0,0,0,-0.296793,0,0,0,0,0,0,0,1.31635,-0.0155021,0,0,0,0,0,0,-2.81375,-0.0181981,0,0,0,0,0,0,0.31611,-0.00775105,0,0,0,0,0,0,1.309,0.0155021,0,0,0,0,0,0,-2.81089,-0.0101101,
5,0,0,0,0,0,0,0.107326,-0.0116266,0,0,0,0,0,0,1.32196,-0.0155021,0,0,0,0,0,0,-2.83481,0.0202201,0,0,0,0,0,0,-0.057974,0.00775105,0,0,0,0,0,0,1.30255,-0.0465063,0,0,0,0,0,0,-2.80471,0.0202201,0,0,0,0,0,0,-0.296793,-0.0232531,0,0,0,0,0,0,1.31635,-0.0193776,0,0,0,0,0,0,-2.81373,0.0101101,0,0,0,0,0,0,0.31614,0.0348797,0,0,0,0,0,0,1.30897,-0.0426308,0,0,0,0,0,0,-2.81089,0,
6,0,0,0,0,0,0,0.107357,0.0348797,0,0,0,0,0,0,1.32199,0.0581329,0,0,0,0,0,0,-2.83481,0.0181981,0,0,0,0,0,0,-0.057974,0.00775105,0,0,0,0,0,0,1.30258,0.0193776,0,0,0,0,0,0,-2.8047,0.0485283,0,0,0,0,0,0,-0.296763,-0.0310042,0,0,0,0,0,0,1.31639,0.0426308,0,0,0,0,0,0,-2.81375,-0.0242641,0,0,0,0,0,0,0.31611,-0.0155021,0,0,0,0,0,0,1.309,0.0193776,0,0,0,0,0,0,-2.81089,0.0222421,
7,0,0,0,0,0,0,0.107357,0.0348797,0,0,0,0,0,0,1.32196,0,0,0,0,0,0,0,-2.83481,0.0181981,0,0,0,0,0,0,-0.057974,0.0193776,0,0,0,0,0,0,1.30255,-0.0581329,0,0,0,0,0,0,-2.8047,0.0485283,0,0,0,0,0,0,-0.296823,-0.0658839,0,0,0,0,0,0,1.31639,0.00775105,0,0,0,0,0,0,-2.81375,-0.0242641,0,0,0,0,0,0,0.31608,0.0387552,0,0,0,0,0,0,1.30897,-0.0310042,0,0,0,0,0,0,-2.81087,0.0262862,
8,0,0,0,0,0,0,0.107357,0.0271287,0,0,0,0,0,0,1.32199,0.0465063,0,0,0,0,0,0,-2.83484,-0.0485283,0,0,0,0,0,0,-0.0580346,-0.073635,0,0,0,0,0,0,1.30258,0.0155021,0,0,0,0,0,0,-2.80471,0.0202201,0,0,0,0,0,0,-0.296793,-0.0193776,0,0,0,0,0,0,1.31639,0.0387552,0,0,0,0,0,0,-2.81373,0.0101101,0,0,0,0,0,0,0.31614,0.0387552,0,0,0,0,0,0,1.309,0.0193776,0,0,0,0,0,0,-2.81087,0.0202201,
9,0,0,0,0,0,0,0.107296,-0.0852615,0,0,0,0,0,0,1.32196,-0.00775105,0,0,0,0,0,0,-2.83482,-0.0101101,0,0,0,0,0,0,-0.057974,0.0232531,0,0,0,0,0,0,1.30255,-0.0503818,0,0,0,0,0,0,-2.80471,0.0262862,0,0,0,0,0,0,-0.296763,0.0232531,0,0,0,0,0,0,1.31635,-0.00387552,0,0,0,0,0,0,-2.81375,-0.0202201,0,0,0,0,0,0,0.31614,0.0426308,0,0,0,0,0,0,1.30897,-0.0542573,0,0,0,0,0,0,-2.81087,0.0202201,
10,0,0,0,0,0,0,0.107296,-0.0852615,0,0,0,0,0,0,1.32199,0.0503818,0,0,0,0,0,0,-2.83482,-0.0121321,0,0,0,0,0,0,-0.057974,0.0232531,0,0,0,0,0,0,1.30255,-0.0426308,0,0,0,0,0,0,-2.80471,0.0222421,0,0,0,0,0,0,-0.296763,0.0232531,0,0,0,0,0,0,1.31639,0.0465063,0,0,0,0,0,0,-2.81375,-0.0303302,0,0,0,0,0,0,0.31614,0.0426308,0,0,0,0,0,0,1.309,-0.0542573,0,0,0,0,0,0,-2.81087,0.0202201,
11,0,0,0,0,0,0,0.107326,-0.0155021,0,0,0,0,0,0,1.32199,0.0465063,0,0,0,0,0,0,-2.83484,-0.0404403,0,0,0,0,0,0,-0.057974,0.00775105,0,0,0,0,0,0,1.30261,0.0620084,0,0,0,0,0,0,-2.80471,0.0262862,0,0,0,0,0,0,-0.296793,-0.0193776,0,0,0,0,0,0,1.31639,0.0542573,0,0,0,0,0,0,-2.81375,-0.0202201,0,0,0,0,0,0,0.31611,0,0,0,0,0,0,0,1.309,0.0155021,0,0,0,0,0,0,-2.81089,0.00202201,
12,0,0,0,0,0,0,0.107357,0.0232531,0,0,0,0,0,0,1.32199,0.0620084,0,0,0,0,0,0,-2.83484,-0.0384182,0,0,0,0,0,0,-0.0580346,-0.081386,0,0,0,0,0,0,1.30255,-0.0503818,0,0,0,0,0,0,-2.80473,-0.00404402,0,0,0,0,0,0,-0.296763,0.0387552,0,0,0,0,0,0,1.31635,-0.0155021,0,0,0,0,0,0,-2.81375,-0.0202201,0,0,0,0,0,0,0.31614,0.0503818,0,0,0,0,0,0,1.309,0.0155021,0,0,0,0,0,0,-2.81087,0.0202201,
13,0,0,0,0,0,0,0.107357,0.0232531,0,0,0,0,0,0,1.32199,0.0503818,0,0,0,0,0,0,-2.83482,-0.00606604,0,0,0,0,0,0,-0.0580346,-0.081386,0,0,0,0,0,0,1.30255,-0.0542573,0,0,0,0,0,0,-2.80473,-0.00404402,0,0,0,0,0,0,-0.296763,0.0348797,0,0,0,0,0,0,1.31635,-0.00387552,0,0,0,0,0,0,-2.81375,-0.0181981,0,0,0,0,0,0,0.31614,0.0387552,0,0,0,0,0,0,1.309,0.0155021,0,0,0,0,0,0,-2.81087,0.0181981,
