,time,fr_hip_kp,fr_hip_kd,fr_hip_tau,fr_hip_q_r,fr_hip_dq_r,fr_hip_tau_est,fr_hip_q,fr_hip_dq,fr_thigh_kp,fr_thigh_kd,fr_thigh_tau,fr_thigh_q_r,fr_thigh_dq_r,fr_thigh_tau_est,fr_thigh_q,fr_thigh_dq,fr_calf_kp,fr_calf_kd,fr_calf_tau,fr_calf_q_r,fr_calf_dq_r,fr_calf_tau_est,fr_calf_q,fr_calf_dq,fl_hip_kp,fl_hip_kd,fl_hip_tau,fl_hip_q_r,fl_hip_dq_r,fl_hip_tau_est,fl_hip_q,fl_hip_dq,fl_thigh_kp,fl_thigh_kd,fl_thigh_tau,fl_thigh_q_r,fl_thigh_dq_r,fl_thigh_tau_est,fl_thigh_q,fl_thigh_dq,fl_calf_kp,fl_calf_kd,fl_calf_tau,fl_calf_q_r,fl_calf_dq_r,fl_calf_tau_est,fl_calf_q,fl_calf_dq,br_hip_kp,br_hip_kd,br_hip_tau,br_hip_q_r,br_hip_dq_r,br_hip_tau_est,br_hip_q,br_hip_dq,br_thigh_kp,br_thigh_kd,br_thigh_tau,br_thigh_q_r,br_thigh_dq_r,br_thigh_tau_est,br_thigh_q,br_thigh_dq,br_calf_kp,br_calf_kd,br_calf_tau,br_calf_q_r,br_calf_dq_r,br_calf_tau_est,br_calf_q,br_calf_dq,bl_hip_kp,bl_hip_kd,bl_hip_tau,bl_hip_q_r,bl_hip_dq_r,bl_hip_tau_est,bl_hip_q,bl_hip_dq,bl_thigh_kp,bl_thigh_kd,bl_thigh_tau,bl_thigh_q_r,bl_thigh_dq_r,bl_thigh_tau_est,bl_thigh_q,bl_thigh_dq,bl_calf_kp,bl_calf_kd,bl_calf_tau,bl_calf_q_r,bl_calf_dq_r,bl_calf_tau_est,bl_calf_q,bl_calf_dq,fr_foot_x,fr_foot_y,fr_foot_z,fl_foot_x,fl_foot_y,fl_foot_z,br_foot_x,br_foot_y,br_foot_z,bl_foot_x,bl_foot_y,bl_foot_z,robot_x,robot_y,robot_z
1910,1910,40,1,0,0.219909,0,5.64033,0.0808336,0.155021,40,1,0,0.784633,0,3.90865,0.608744,3.31357,40,1,0,-1.30218,0,9.38818,-1.52037,-0.0667264,40,1,0,0.0440118,0,2.10275,-0.0394745,1.2828,40,1,0,0.770609,0,-2.74595,1.03178,-7.29761,40,1,0,-1.89137,0,-0.616396,-1.68967,-7.86563,40,1,0,-0.0470021,0,-0.445289,0.0185476,-2.11216,40,1,0,0.80968,0,-2.0038,0.956234,-3.53835,40,1,0,-1.74576,0,-1.61211,-1.53776,-7.54211,40,1,0,-0.214138,0,-5.86297,-0.0590286,-0.492191,40,1,0,0.839496,0,8.1389,0.574252,2.9609,40,1,0,-1.06754,0,15.3625,-1.4378,0.0566163,-0.0600141,-0.0692062,-0.322244,0.0421671,0.083429,-0.294849,0.0476866,-0.0891413,-0.316717,-0.0591321,0.0754681,-0.333308,11.634,8.04435,0.310205
1911,1911,40,1,0,0.219909,0,5.83823,0.0808336,-0.0387552,40,1,0,0.784633,0,3.95813,0.618069,2.91827,40,1,0,-1.30218,0,9.24593,-1.52056,-0.137497,40,1,0,0.0440118,0,2.02854,-0.0374762,1.27505,40,1,0,0.770609,0,-3.1665,1.02088,-7.09221,40,1,0,-1.89137,0,0.0948301,-1.71227,-8.25385,40,1,0,-0.0470021,0,-0.321598,0.0118563,-2.19742,40,1,0,0.80968,0,-1.73168,0.949785,-3.94528,40,1,0,-1.74576,0,-1.28021,-1.54936,-7.08918,40,1,0,-0.214138,0,-5.96193,-0.0607242,-0.395303,40,1,0,0.839496,0,8.0152,0.578582,2.78263,40,1,0,-1.06754,0,15.4573,-1.43771,0.0808805,-0.0570954,-0.0691649,-0.322754,0.0349468,0.084124,-0.291856,0.0434437,-0.0912727,-0.314922,-0.057696,0.0748865,-0.333705,11.6365,8.04597,0.310659
1912,1912,40,1,0,0.219909,0,6.03614,0.0805611,-0.236407,40,1,0,0.784633,0,3.63653,0.62255,3.30582,40,1,0,-1.30218,0,9.24593,-1.52074,-0.123343,40,1,0,0.0440118,0,1.63273,-0.0352053,1.46495,40,1,0,0.770609,0,-4.8487,1.01256,-5.72415,40,1,0,-1.89137,0,0.047415,-1.72363,-7.67354,40,1,0,-0.0470021,0,-0.321598,0.00894964,-2.02302,40,1,0,0.80968,0,-1.38534,0.938794,-3.86777,40,1,0,-1.74576,0,-0.806056,-1.56037,-7.24285,40,1,0,-0.214138,0,-5.98666,-0.0612692,-0.379801,40,1,0,0.839496,0,7.44622,0.586394,2.84851,40,1,0,-1.06754,0,15.4573,-1.43769,0.0161761,-0.0557032,-0.069235,-0.322956,0.0305546,0.0848362,-0.290253,0.0379252,-0.0921967,-0.313651,-0.0551254,0.0746775,-0.334188,11.6385,8.0473,0.311146
1913,1913,40,1,0,0.219909,0,6.25879,0.079895,-0.523196,40,1,0,0.784633,0,3.26545,0.627395,3.22831,40,1,0,-1.30218,0,9.29335,-1.52126,-0.153673,40,1,0,0.0440118,0,1.31113,-0.0298765,1.70135,40,1,0,0.770609,0,-4.8487,1.00483,-5.16607,40,1,0,-1.89137,0,0.047415,-1.73526,-7.40057,40,1,0,-0.0470021,0,-0.321598,0.00574023,-1.87188,40,1,0,0.80968,0,-1.26165,0.932981,-3.79801,40,1,0,-1.74576,0,-0.28449,-1.58132,-7.27925,40,1,0,-0.214138,0,-6.06088,-0.0617536,-0.321668,40,1,0,0.839496,0,7.29779,0.590966,3.1198,40,1,0,-1.06754,0,15.5521,-1.43771,-0.0222421,-0.0542452,-0.0694363,-0.323082,0.0263349,0.0864279,-0.288252,0.0322357,-0.0932181,-0.3107,-0.0536232,0.0745004,-0.33447,11.6385,8.0473,0.311146
1914,1914,40,1,0,0.219909,0,6.35774,0.0785022,-0.515445,40,1,0,0.784633,0,3.1665,0.632603,3.27482,40,1,0,-1.30218,0,9.24593,-1.52153,-0.169849,40,1,0,0.0440118,0,1.60799,-0.027424,1.44945,40,1,0,0.770609,0,-3.58705,0.995479,-5.31722,40,1,0,-1.89137,0,-0.047415,-1.74646,-6.99212,40,1,0,-0.0470021,0,-0.247383,0.0032272,-1.81375,40,1,0,0.80968,0,-1.11322,0.926804,-3.71663,40,1,0,-1.74576,0,-0.047415,-1.59231,-7.40663,40,1,0,-0.214138,0,-5.96193,-0.0622986,-0.352673,40,1,0,0.839496,0,7.27306,0.595568,2.7865,40,1,0,-1.06754,0,15.4573,-1.43769,0.0465063,-0.0526351,-0.0698682,-0.323214,0.0217695,0.0871761,-0.286526,0.0283217,-0.0940029,-0.309107,-0.052105,0.0743028,-0.334756,11.6399,8.0484,0.311382
1915,1915,40,1,0,0.219909,0,6.40722,0.077715,-0.51932,40,1,0,0.784633,0,3.01807,0.641141,3.10817,40,1,0,-1.30218,0,9.05627,-1.52168,-0.0707704,40,1,0,0.0440118,0,1.31113,-0.0249413,1.59284,40,1,0,0.770609,0,-1.21218,0.97592,-7.18522,40,1,0,-1.89137,0,0.142245,-1.7578,-6.69084,40,1,0,-0.0470021,0,-0.445289,-0.00195026,-1.40682,40,1,0,0.80968,0,-0.940055,0.920658,-3.5306,40,1,0,-1.74576,0,0.047415,-1.60342,-7.00425,40,1,0,-0.214138,0,-5.96193,-0.063328,-0.255785,40,1,0,0.839496,0,7.19884,0.600049,2.66636,40,1,0,-1.06754,0,15.4573,-1.43764,0.0384182,-0.049952,-0.0700908,-0.323568,0.0143488,0.0879235,-0.284853,0.0244327,-0.0955993,-0.307184,-0.0506208,0.0739431,-0.33507,11.6399,8.0484,0.311382
1916,1916,40,1,0,0.173311,0,6.48143,0.0769278,-0.503818,40,1,0,0.401065,0,2.74595,0.645804,2.95702,40,1,0,-1.51488,0,9.00886,-1.52179,-0.0566163,40,1,0,0.0163875,0,0.964793,-0.0222163,1.63935,40,1,0,0.87394,0,-0.964793,0.964838,-7.27436,40,1,0,-1.75928,0,0.995716,-1.77715,-6.67871,40,1,0,-0.106989,0,-0.371074,-0.00437248,-1.39131,40,1,0,0.956281,0,-0.247383,0.909182,-4.04217,40,1,0,-1.72199,0,0.237075,-1.61495,-6.86878,40,1,0,-0.0752401,0,-6.03614,-0.0636914,-0.174399,40,1,0,0.636376,0,6.80303,0.60783,2.81751,40,1,0,-1.34483,0,15.4573,-1.4376,0.0343742,-0.0484889,-0.0703293,-0.323722,0.00812418,0.0887673,-0.281554,0.0188754,-0.0963367,-0.305503,-0.0480462,0.0737964,-0.335488,11.6425,8.05014,0.31182
1917,1917,40,1,0,0.173311,0,6.38248,0.0754442,-0.472814,40,1,0,0.401065,0,2.49857,0.650678,3.03066,40,1,0,-1.51488,0,8.96144,-1.52179,-0.00808805,40,1,0,0.0163875,0,0.692672,-0.0190977,1.98814,40,1,0,0.87394,0,-0.593719,0.953847,-7.06896,40,1,0,-1.75928,0,1.23279,-1.7881,-6.4664,40,1,0,-0.106989,0,-0.272121,-0.00667354,-1.45332,40,1,0,0.956281,0,-0.123691,0.902915,-3.85615,40,1,0,-1.72199,0,0.853471,-1.62372,-7.00223,40,1,0,-0.0752401,0,-5.98666,-0.0640244,-0.193776,40,1,0,0.636376,0,6.6546,0.612281,2.85626,40,1,0,-1.34483,0,15.4099,-1.43755,0.0343742,-0.0469413,-0.070792,-0.323849,0.0033502,0.089679,-0.279493,0.0154369,-0.0970314,-0.304069,-0.0465691,0.0736707,-0.33573,11.6447,8.05205,0.312229
1918,1918,40,1,0,0.173311,0,6.35774,0.0749295,-0.352673,40,1,0,0.401065,0,2.3254,0.655129,3.01516,40,1,0,-1.51488,0,9.05627,-1.52172,0.0222421,40,1,0,0.0163875,0,0.321598,-0.0134358,1.90676,40,1,0,0.87394,0,-0.173168,0.943583,-6.78217,40,1,0,-1.75928,0,1.65953,-1.79729,-6.53717,40,1,0,-0.106989,0,-0.247383,-0.008793,-1.39131,40,1,0,0.956281,0,-0.0742148,0.897526,-3.53835,40,1,0,-1.72199,0,1.32762,-1.644,-6.30868,40,1,0,-0.0752401,0,-5.98666,-0.064418,-0.189901,40,1,0,0.636376,0,6.38248,0.616247,2.82913,40,1,0,-1.34483,0,15.3625,-1.43739,0.0566163,-0.0455156,-0.0709422,-0.324032,-0.000897579,0.0912811,-0.277413,0.010338,-0.0976487,-0.300809,-0.0452338,0.0735251,-0.335968,11.6447,8.05205,0.312229
1919,1919,40,1,0,0.173311,0,5.02187,0.0740514,-0.515445,40,1,0,0.401065,0,-9.10369,0.657612,1.40294,40,1,0,-1.51488,0,2.22851,-1.52194,-0.238597,40,1,0,0.0163875,0,-0.222645,-0.0105594,1.72073,40,1,0,0.87394,0,2.647,0.926355,-5.63501,40,1,0,-1.75928,0,5.9743,-1.80646,-6.05391,40,1,0,-0.106989,0,-2.10275,-0.0126685,-1.41844,40,1,0,0.956281,0,4.10655,0.89253,-2.82138,40,1,0,-1.72199,0,2.32334,-1.65373,-6.53514,40,1,0,-0.0752401,0,-1.50904,-0.06463,0.248034,40,1,0,0.636376,0,0.321598,0.619699,1.57734,40,1,0,-1.34483,0,6.3062,-1.43755,-0.254774,-0.0447594,-0.0712213,-0.324042,-0.00700482,0.0920963,-0.275475,0.00720297,-0.098795,-0.29894,-0.0441175,0.0734456,-0.336111,11.6461,8.05307,0.31243
