,time,fr_hip_kp,fr_hip_kd,fr_hip_tau,fr_hip_q_r,fr_hip_dq_r,fr_hip_tau_est,fr_hip_q,fr_hip_dq,fr_thigh_kp,fr_thigh_kd,fr_thigh_tau,fr_thigh_q_r,fr_thigh_dq_r,fr_thigh_tau_est,fr_thigh_q,fr_thigh_dq,fr_calf_kp,fr_calf_kd,fr_calf_tau,fr_calf_q_r,fr_calf_dq_r,fr_calf_tau_est,fr_calf_q,fr_calf_dq,fl_hip_kp,fl_hip_kd,fl_hip_tau,fl_hip_q_r,fl_hip_dq_r,fl_hip_tau_est,fl_hip_q,fl_hip_dq,fl_thigh_kp,fl_thigh_kd,fl_thigh_tau,fl_thigh_q_r,fl_thigh_dq_r,fl_thigh_tau_est,fl_thigh_q,fl_thigh_dq,fl_calf_kp,fl_calf_kd,fl_calf_tau,fl_calf_q_r,fl_calf_dq_r,fl_calf_tau_est,fl_calf_q,fl_calf_dq,br_hip_kp,br_hip_kd,br_hip_tau,br_hip_q_r,br_hip_dq_r,br_hip_tau_est,br_hip_q,br_hip_dq,br_thigh_kp,br_thigh_kd,br_thigh_tau,br_thigh_q_r,br_thigh_dq_r,br_thigh_tau_est,br_thigh_q,br_thigh_dq,br_calf_kp,br_calf_kd,br_calf_tau,br_calf_q_r,br_calf_dq_r,br_calf_tau_est,br_calf_q,br_calf_dq,bl_hip_kp,bl_hip_kd,bl_hip_tau,bl_hip_q_r,bl_hip_dq_r,bl_hip_tau_est,bl_hip_q,bl_hip_dq,bl_thigh_kp,bl_thigh_kd,bl_thigh_tau,bl_thigh_q_r,bl_thigh_dq_r,bl_thigh_tau_est,bl_thigh_q,bl_thigh_dq,bl_calf_kp,bl_calf_kd,bl_calf_tau,bl_calf_q_r,bl_calf_dq_r,bl_calf_tau_est,bl_calf_q,bl_calf_dq,fr_foot_x,fr_foot_y,fr_foot_z,fl_foot_x,fl_foot_y,fl_foot_z,br_foot_x,br_foot_y,br_foot_z,bl_foot_x,bl_foot_y,bl_foot_z,robot_x,robot_y,robot_z
0,0,40,1,0,-0.0532779,0,0.544242,-0.0668905,-0.0465063,40,1,0,0.669782,0,2.15223,0.618191,0.00387552,40,1,0,-1.28861,0,5.87947,-1.429,-0.00404402,40,1,0,0.0564174,0,2.02854,0.00866681,-0.0387552,40,1,0,0.743281,0,-0.841102,0.763765,-0.0581329,40,1,0,-1.4342,0,2.46558,-1.49292,0.0202201,40,1,0,0.136343,0,0.470027,0.125034,0.0387552,40,1,0,0.863917,0,-1.45956,0.899463,0.0,40,1,0,-1.40219,0,3.41388,-1.4854,0.0161761,40,1,0,-0.00646208,0,-3.46336,0.0769477,0.089137,40,1,0,0.595145,0,3.686,0.505129,0.0426308,40,1,0,-1.20588,0,5.40531,-1.33534,-0.0242641,-0.0432682,-0.116981,-0.324937,-0.00591416,0.0978162,-0.324521,0.0395926,-0.053837,-0.333444,-0.0666824,0.120977,-0.33327,9.18787,6.03149,0.314889
1,1,40,1,0,-0.0532779,0,0.56898,-0.0668602,0.0116266,40,1,0,0.669782,0,2.12749,0.618251,0.0852615,40,1,0,-1.28861,0,5.78464,-1.42903,-0.0748145,40,1,0,0.0564174,0,2.02854,0.00869709,0.0193776,40,1,0,0.743281,0,-0.841102,0.763765,-0.0503818,40,1,0,-1.4342,0,2.46558,-1.49293,-0.00202201,40,1,0,0.136343,0,0.470027,0.125064,0.0581329,40,1,0,0.863917,0,-1.4843,0.899463,0.0,40,1,0,-1.40219,0,3.31905,-1.48541,-0.00606604,40,1,0,-0.00646208,0,-3.4881,0.0769477,0.0968881,40,1,0,0.595145,0,3.71074,0.505099,-0.0271287,40,1,0,-1.20588,0,5.45273,-1.33531,0.0505503,-0.0432531,-0.116971,-0.324938,-0.00591686,0.097826,-0.324516,0.0395896,-0.0538272,-0.333444,-0.0666878,0.120977,-0.333274,9.18787,6.03149,0.314887
2,2,40,1,0,-0.0180469,0,0.544242,-0.0668905,0.00387552,40,1,0,0.799727,0,2.22645,0.61816,-0.0465063,40,1,0,-1.31246,0,5.83205,-1.42899,0.0,40,1,0,0.00537715,0,1.97906,0.00869709,0.0232531,40,1,0,0.729148,0,-0.841102,0.763795,-0.0116266,40,1,0,-1.56148,0,2.46558,-1.49293,0.00606604,40,1,0,0.165047,0,0.470027,0.125034,0.00387552,40,1,0,0.918153,0,-1.50904,0.899494,0.0581329,40,1,0,-1.18452,0,3.31905,-1.48541,0.0121321,40,1,0,-0.0742949,0,-3.43862,0.0768872,0.0,40,1,0,0.775291,0,3.76022,0.505099,0.0116266,40,1,0,-1.12121,0,5.31048,-1.33533,0.0748145,-0.0432757,-0.116981,-0.324938,-0.00590702,0.097826,-0.324516,0.0395994,-0.0538374,-0.333441,-0.0666903,0.120957,-0.333278,9.18787,6.03149,0.314887
3,3,40,1,0,-0.0180469,0,0.56898,-0.0668905,-0.0581329,40,1,0,0.799727,0,2.12749,0.618191,0.0,40,1,0,-1.31246,0,5.87947,-1.429,-0.0121321,40,1,0,0.00537715,0,1.92959,0.00866681,-0.0387552,40,1,0,0.729148,0,-0.86584,0.763795,0.0,40,1,0,-1.56148,0,2.46558,-1.49293,0.00202201,40,1,0,0.165047,0,0.445289,0.125034,-0.0193776,40,1,0,0.918153,0,-1.4843,0.899463,0.00775105,40,1,0,-1.18452,0,3.41388,-1.4854,0.0181981,40,1,0,-0.0742949,0,-3.53757,0.0769175,0.0387552,40,1,0,0.775291,0,3.66127,0.505099,0.0,40,1,0,-1.12121,0,5.40531,-1.33533,0.0101101,-0.0432682,-0.116981,-0.324937,-0.00590702,0.0978162,-0.324519,0.0395926,-0.053837,-0.333444,-0.0666903,0.120967,-0.333275,9.18788,6.03149,0.314885
4,4,40,1,0,-0.0180469,0,0.544242,-0.0668602,0.00775105,40,1,0,0.799727,0,2.12749,0.618251,0.104639,40,1,0,-1.31246,0,5.87947,-1.42899,0.0262862,40,1,0,0.00537715,0,1.97906,0.00866681,-0.0503818,40,1,0,0.729148,0,-0.86584,0.763795,-0.0271287,40,1,0,-1.56148,0,2.46558,-1.49293,0.0,40,1,0,0.165047,0,0.470027,0.125034,0.0581329,40,1,0,0.918153,0,-1.4843,0.899463,0.0,40,1,0,-1.18452,0,3.41388,-1.4854,0.00808805,40,1,0,-0.0742949,0,-3.53757,0.0769175,0.0503818,40,1,0,0.775291,0,3.76022,0.505068,-0.0581329,40,1,0,-1.12121,0,5.40531,-1.33531,0.0404403,-0.0432456,-0.116971,-0.324945,-0.00590702,0.0978162,-0.324519,0.0395926,-0.053837,-0.333444,-0.0666982,0.120967,-0.333275,9.18787,6.03149,0.314888
5,5,40,1,0,-0.0180469,0,1.58325,-0.0665574,0.205403,40,1,0,0.799727,0,5.83823,0.619402,1.10065,40,1,0,-1.31246,0,5.83205,-1.42902,-0.0323522,40,1,0,0.00537715,0,0.519504,0.00821263,-0.368175,40,1,0,0.729148,0,-1.28639,0.763644,-0.158896,40,1,0,-1.56148,0,-0.853471,-1.49317,-0.192091,40,1,0,0.165047,0,1.28639,0.125306,0.178274,40,1,0,0.918153,0,-0.0494766,0.899978,0.387552,40,1,0,-1.18452,0,3.31905,-1.48541,-0.0181981,40,1,0,-0.0742949,0,-5.46716,0.0763422,-0.472814,40,1,0,0.775291,0,3.76022,0.505068,-0.0581329,40,1,0,-1.12121,0,5.45273,-1.33533,0.00808805,-0.0428685,-0.116876,-0.325025,-0.0059969,0.0976685,-0.324526,0.0397564,-0.053749,-0.333437,-0.0667006,0.120775,-0.333342,9.18787,6.03149,0.314888
6,6,40,1,0,-0.0180469,0,1.55851,-0.0658005,0.352673,40,1,0,0.799727,0,5.71454,0.622217,1.53083,40,1,0,-1.31246,0,5.02599,-1.42903,-0.0384182,40,1,0,0.00537715,0,0.544242,0.00712264,-0.561951,40,1,0,0.729148,0,-1.28639,0.763432,-0.0852615,40,1,0,-1.56148,0,-1.23279,-1.49413,-0.531789,40,1,0,0.165047,0,1.36061,0.125851,0.201527,40,1,0,0.918153,0,-0.0494766,0.899978,0.387552,40,1,0,-1.18452,0,10.2891,-1.48477,0.489327,40,1,0,-0.0742949,0,-5.46716,0.07501,-0.658839,40,1,0,0.775291,0,9.07895,0.506582,1.25567,40,1,0,-1.12121,0,8.06056,-1.33501,0.277016,-0.0419358,-0.116637,-0.32523,-0.00623099,0.0973136,-0.324483,0.0398805,-0.0535569,-0.333548,-0.0661343,0.120343,-0.333657,9.18796,6.0316,0.31492
7,7,40,1,0,-0.0180469,0,1.6822,-0.0652252,0.244158,40,1,0,0.799727,0,6.45669,0.624155,0.89137,40,1,0,-1.31246,0,4.83633,-1.4291,-0.0586384,40,1,0,0.00537715,0,0.519504,0.00597212,-0.620084,40,1,0,0.729148,0,-1.36061,0.76316,-0.155021,40,1,0,-1.56148,0,-1.09055,-1.49567,-0.887663,40,1,0,0.165047,0,1.60799,0.126124,0.162772,40,1,0,0.918153,0,-0.222645,0.902733,0.883619,40,1,0,-1.18452,0,10.0046,-1.48268,1.09189,40,1,0,-0.0742949,0,-5.51664,0.0738595,-0.550324,40,1,0,0.775291,0,9.05421,0.509822,1.59284,40,1,0,-1.12121,0,8.39246,-1.33439,0.374072,-0.0413021,-0.116455,-0.325367,-0.0065818,0.0969388,-0.324358,0.0411745,-0.0534469,-0.333713,-0.0649307,0.119982,-0.33411,9.18796,6.0316,0.31492
8,8,40,1,0,-0.0180469,0,1.80589,-0.0649224,0.0542573,40,1,0,0.799727,0,6.77829,0.625397,0.577453,40,1,0,-1.31246,0,5.02599,-1.42926,-0.111211,40,1,0,0.00537715,0,0.593719,0.00482157,-0.643337,40,1,0,0.729148,0,-1.4843,0.76325,0.0271287,40,1,0,-1.56148,0,-0.995716,-1.49759,-1.13435,40,1,0,0.165047,0,1.78116,0.125972,-0.0775105,40,1,0,0.918153,0,-0.14843,0.904247,0.747976,40,1,0,-1.18452,0,10.0994,-1.48048,1.39721,40,1,0,-0.0742949,0,-5.41768,0.0726181,-0.58908,40,1,0,0.775291,0,9.69741,0.512456,1.20916,40,1,0,-1.12121,0,8.86661,-1.33394,0.181981,-0.0409148,-0.116358,-0.325427,-0.00688158,0.0965641,-0.324173,0.0420886,-0.0534707,-0.333916,-0.0639577,0.119585,-0.334506,9.18833,6.03196,0.314998
9,9,40,1,0,-0.0180469,0,1.88011,-0.064771,0.00775105,40,1,0,0.799727,0,6.75355,0.626305,0.48444,40,1,0,-1.31246,0,5.26307,-1.4296,-0.212311,40,1,0,0.00537715,0,0.593719,0.00376183,-0.616208,40,1,0,0.729148,0,-1.78116,0.763614,0.251909,40,1,0,-1.56148,0,-0.900886,-1.49966,-1.27185,40,1,0,0.165047,0,1.83063,0.12567,-0.127892,40,1,0,0.918153,0,-0.123691,0.905519,0.66659,40,1,0,-1.18452,0,10.4787,-1.47777,1.53875,40,1,0,-0.0742949,0,-5.54138,0.0715886,-0.476689,40,1,0,0.775291,0,10.1922,0.515635,0.716972,40,1,0,-1.12121,0,9.29335,-1.33383,0.0141541,-0.0406685,-0.116307,-0.325424,-0.00711673,0.0962194,-0.323958,0.0430263,-0.053536,-0.334183,-0.0628518,0.119256,-0.334848,9.18833,6.03196,0.314998
