,time,fr_hip_kp,fr_hip_kd,fr_hip_tau,fr_hip_q_r,fr_hip_dq_r,fr_hip_tau_est,fr_hip_q,fr_hip_dq,fr_thigh_kp,fr_thigh_kd,fr_thigh_tau,fr_thigh_q_r,fr_thigh_dq_r,fr_thigh_tau_est,fr_thigh_q,fr_thigh_dq,fr_calf_kp,fr_calf_kd,fr_calf_tau,fr_calf_q_r,fr_calf_dq_r,fr_calf_tau_est,fr_calf_q,fr_calf_dq,fl_hip_kp,fl_hip_kd,fl_hip_tau,fl_hip_q_r,fl_hip_dq_r,fl_hip_tau_est,fl_hip_q,fl_hip_dq,fl_thigh_kp,fl_thigh_kd,fl_thigh_tau,fl_thigh_q_r,fl_thigh_dq_r,fl_thigh_tau_est,fl_thigh_q,fl_thigh_dq,fl_calf_kp,fl_calf_kd,fl_calf_tau,fl_calf_q_r,fl_calf_dq_r,fl_calf_tau_est,fl_calf_q,fl_calf_dq,br_hip_kp,br_hip_kd,br_hip_tau,br_hip_q_r,br_hip_dq_r,br_hip_tau_est,br_hip_q,br_hip_dq,br_thigh_kp,br_thigh_kd,br_thigh_tau,br_thigh_q_r,br_thigh_dq_r,br_thigh_tau_est,br_thigh_q,br_thigh_dq,br_calf_kp,br_calf_kd,br_calf_tau,br_calf_q_r,br_calf_dq_r,br_calf_tau_est,br_calf_q,br_calf_dq,bl_hip_kp,bl_hip_kd,bl_hip_tau,bl_hip_q_r,bl_hip_dq_r,bl_hip_tau_est,bl_hip_q,bl_hip_dq,bl_thigh_kp,bl_thigh_kd,bl_thigh_tau,bl_thigh_q_r,bl_thigh_dq_r,bl_thigh_tau_est,bl_thigh_q,bl_thigh_dq,bl_calf_kp,bl_calf_kd,bl_calf_tau,bl_calf_q_r,bl_calf_dq_r,bl_calf_tau_est,bl_calf_q,bl_calf_dq,fr_foot_x,fr_foot_y,fr_foot_z,fl_foot_x,fl_foot_y,fl_foot_z,br_foot_x,br_foot_y,br_foot_z,bl_foot_x,bl_foot_y,bl_foot_z,robot_x,robot_y,robot_z
7549,7549,40,1,0,0.195859,0,6.06088,0.0529783,-0.174399,40,1,0,0.813184,0,0.420551,0.765521,1.65097,40,1,0,-1.23836,0,11.6641,-1.5175,-0.00808805,40,1,0,0.0762486,0,0.0,0.0634389,0.538698,40,1,0,0.52989,0,0.0742148,0.722194,-8.3595,40,1,0,-1.83588,0,1.51728,-1.84884,-1.55291,40,1,0,-0.0745003,0,-0.371074,-0.0563893,-0.375926,40,1,0,0.634391,0,-0.940055,0.78565,-5.18158,40,1,0,-1.74655,0,0.711226,-1.70801,-2.92383,40,1,0,-0.16325,0,-4.99713,-0.0437082,-0.00775105,40,1,0,0.848337,0,1.08848,0.786316,1.51145,40,1,0,-1.21757,0,12.2805,-1.51352,0.0384182,-0.00951878,-0.0778392,-0.326135,-0.0668845,0.111207,-0.252112,-0.0326648,-0.111164,-0.283668,-0.00214763,0.0808269,-0.326137,11.4994,8.1866,0.309122
7550,7550,40,1,0,0.195859,0,6.06088,0.0527361,-0.108515,40,1,0,0.813184,0,0.346336,0.768246,1.59672,40,1,0,-1.23836,0,11.5693,-1.51751,-0.0222421,40,1,0,0.0762486,0,0.0742148,0.0641352,0.368175,40,1,0,0.52989,0,0.247383,0.709417,-8.13085,40,1,0,-1.83588,0,1.65953,-1.85135,-1.47809,40,1,0,-0.0745003,0,-0.346336,-0.0571159,-0.391428,40,1,0,0.634391,0,-0.86584,0.769331,-4.69326,40,1,0,-1.74655,0,0.853471,-1.71262,-2.72163,40,1,0,-0.16325,0,-5.02187,-0.0436779,0.0232531,40,1,0,0.848337,0,0.766887,0.791645,1.59284,40,1,0,-1.21757,0,12.3753,-1.51348,0.0161761,-0.00864521,-0.077917,-0.326139,-0.0704247,0.111292,-0.250637,-0.0380094,-0.111289,-0.282161,-0.000424679,0.0808362,-0.326147,11.4994,8.1866,0.309122
7551,7551,40,1,0,0.195859,0,5.86297,0.0527058,0.0542573,40,1,0,0.813184,0,0.14843,0.771213,1.76336,40,1,0,-1.23836,0,11.5693,-1.5175,0.0262862,40,1,0,0.0762486,0,0.123691,0.0648316,0.306166,40,1,0,0.52989,0,0.371074,0.696155,-7.50689,40,1,0,-1.83588,0,1.46987,-1.8535,-1.27791,40,1,0,-0.0745003,0,-0.321598,-0.0578729,-0.368175,40,1,0,0.634391,0,-0.519504,0.761186,-4.93354,40,1,0,-1.74655,0,0.806056,-1.71635,-2.65692,40,1,0,-0.16325,0,-4.92292,-0.0436174,0.0697594,40,1,0,0.848337,0,0.791625,0.79434,1.39131,40,1,0,-1.21757,0,12.3753,-1.51342,0.0586384,-0.00768829,-0.0779255,-0.326163,-0.074029,0.111376,-0.249153,-0.0408506,-0.111443,-0.28106,0.000454751,0.0808555,-0.326151,11.5005,8.18798,0.309073
7552,7552,40,1,0,0.16377,0,5.83823,0.0527966,0.0658839,40,1,0,0.3689,0,0.123691,0.773847,1.60834,40,1,0,-1.42024,0,11.7589,-1.51751,-0.0161761,40,1,0,-0.0175323,0,-0.0742148,0.0662547,0.51932,40,1,0,0.721316,0,0.742148,0.683408,-7.08058,40,1,0,-1.66505,0,1.32762,-1.85525,-1.0292,40,1,0,-0.0761531,0,-0.321598,-0.0583876,-0.279038,40,1,0,0.710877,0,-0.272121,0.753193,-4.59637,40,1,0,-1.71215,0,0.663811,-1.72047,-2.31116,40,1,0,-0.0939465,0,-5.02187,-0.0436174,-0.0116266,40,1,0,0.647275,0,0.766887,0.796792,1.42232,40,1,0,-1.40271,0,12.2331,-1.51342,0.0,-0.00684379,-0.077895,-0.326187,-0.0774411,0.111642,-0.247662,-0.0436835,-0.111523,-0.279889,0.00124524,0.0808556,-0.326149,11.5019,8.18953,0.309022
7553,7553,40,1,0,0.16377,0,5.73928,0.0533113,0.162772,40,1,0,0.3689,0,0.0742148,0.776088,1.49595,40,1,0,-1.42024,0,11.6641,-1.51751,-0.0101101,40,1,0,-0.0175323,0,-0.272121,0.0673749,0.744101,40,1,0,0.721316,0,1.50904,0.664576,-6.72403,40,1,0,-1.66505,0,1.13796,-1.85653,-0.849245,40,1,0,-0.0761531,0,-0.470027,-0.059084,-0.228656,40,1,0,0.710877,0,-0.0742148,0.74635,-4.56924,40,1,0,-1.71215,0,0.47415,-1.72687,-1.89867,40,1,0,-0.0939465,0,-5.04661,-0.0434357,0.124017,40,1,0,0.647275,0,0.667934,0.798881,1.34481,40,1,0,-1.40271,0,12.2805,-1.51328,0.0444843,-0.00612316,-0.0777263,-0.326241,-0.0823292,0.111799,-0.245764,-0.0464618,-0.111628,-0.278288,0.00194328,0.0809141,-0.326153,11.5019,8.18953,0.309022
7554,7554,40,1,0,0.16377,0,5.73928,0.0536141,0.279038,40,1,0,0.3689,0,0.0,0.779933,1.46882,40,1,0,-1.42024,0,11.4744,-1.51751,-0.0161761,40,1,0,-0.0175323,0,-0.321598,0.0684952,0.705345,40,1,0,0.721316,0,1.90485,0.654039,-6.79379,40,1,0,-1.66505,0,6.40103,-1.85808,-0.368006,40,1,0,-0.0761531,0,-0.544242,-0.0592051,-0.0426308,40,1,0,0.710877,0,0.0,0.734239,-4.17781,40,1,0,-1.71215,0,0.616396,-1.72962,-1.79959,40,1,0,-0.0939465,0,-5.09609,-0.0432238,0.108515,40,1,0,0.647275,0,0.56898,0.80088,1.23629,40,1,0,-1.40271,0,12.2331,-1.51315,0.0990786,-0.00488635,-0.0776264,-0.326286,-0.0851154,0.111992,-0.244427,-0.0502474,-0.111595,-0.277163,0.0026094,0.0809826,-0.32615,11.5026,8.19026,0.308999
7555,7555,40,1,0,0.16377,0,4.72501,0.0535233,-0.0968881,40,1,0,0.3689,0,-13.5318,0.780478,-0.344922,40,1,0,-1.42024,0,5.45273,-1.51837,-0.541899,40,1,0,-0.0175323,0,-2.22645,0.0680713,-0.809984,40,1,0,0.721316,0,9.07895,0.643139,-6.92556,40,1,0,-1.66505,0,6.02171,-1.85783,0.279038,40,1,0,-0.0761531,0,-0.593719,-0.0592656,0.0271287,40,1,0,0.710877,0,2.25118,0.728335,-3.8949,40,1,0,-1.71215,0,1.61211,-1.73177,-1.7086,40,1,0,-0.0939465,0,-2.86964,-0.0428302,0.383677,40,1,0,0.647275,0,-3.98286,0.800971,-1.24404,40,1,0,-1.40271,0,6.21137,-1.51322,-0.107167,-0.00485627,-0.077663,-0.32615,-0.0878316,0.111828,-0.243589,-0.052185,-0.11157,-0.27644,0.00262767,0.0811114,-0.326108,11.5026,8.19026,0.308999
7556,7556,40,1,0,0.16377,0,4.92292,0.0528269,-0.341046,40,1,0,0.3689,0,-10.3406,0.774392,-4.50336,40,1,0,-1.42024,0,5.64239,-1.51949,-0.792629,40,1,0,-0.0175323,0,-1.78116,0.066073,-1.36418,40,1,0,0.721316,0,8.55945,0.629,-5.1932,40,1,0,-1.66505,0,5.31048,-1.8566,0.97461,40,1,0,-0.0761531,0,-0.692672,-0.0592656,0.0232531,40,1,0,0.710877,0,2.15223,0.723611,-3.13917,40,1,0,-1.71215,0,1.51728,-1.73592,-1.21523,40,1,0,-0.0939465,0,-3.33967,-0.0414374,0.968881,40,1,0,0.647275,0,-2.96859,0.79758,-2.64698,40,1,0,-1.40271,0,6.25879,-1.51491,-0.784541,-0.00700261,-0.0779012,-0.325886,-0.0912713,0.111275,-0.242814,-0.0540271,-0.111507,-0.275383,0.00124142,0.0815758,-0.325747,11.5038,8.19138,0.308963
7557,7557,40,1,0,0.16377,0,5.51664,0.0518883,-0.751852,40,1,0,0.3689,0,-12.8392,0.76107,-3.61974,40,1,0,-1.42024,0,5.68981,-1.52102,-1.02718,40,1,0,-0.0175323,0,-1.83063,0.063893,-1.41844,40,1,0,0.721316,0,8.88104,0.621824,-4.97617,40,1,0,-1.66505,0,4.64667,-1.85201,1.99977,40,1,0,-0.0761531,0,-1.06375,-0.0587206,0.298415,40,1,0,0.710877,0,2.20171,0.719342,-2.79813,40,1,0,-1.71215,0,1.32762,-1.73753,-1.00494,40,1,0,-0.0939465,0,-3.38914,-0.0383491,1.05027,40,1,0,0.647275,0,-3.43862,0.793674,-2.4377,40,1,0,-1.40271,0,6.11654,-1.51623,-0.897774,-0.0115381,-0.0782259,-0.325448,-0.0927105,0.110766,-0.243388,-0.0554232,-0.111325,-0.274896,-0.000245664,0.082589,-0.325294,11.5035,8.19126,0.308839
7558,7558,40,1,0,0.16377,0,5.93719,0.0500413,-1.19366,40,1,0,0.3689,0,-15.2883,0.758739,-1.34093,40,1,0,-1.42024,0,4.97858,-1.52397,-0.917994,40,1,0,-0.0175323,0,-2.49857,0.0622278,-1.04639,40,1,0,0.721316,0,8.83157,0.615223,-4.79015,40,1,0,-1.66505,0,5.12082,-1.84911,2.09683,40,1,0,-0.0761531,0,-1.28639,-0.0580243,0.48444,40,1,0,0.710877,0,4.20551,0.709623,-4.08093,40,1,0,-1.71215,0,1.23279,-1.7387,-0.774431,40,1,0,-0.0939465,0,-3.46336,-0.0366838,1.17816,40,1,0,0.647275,0,-6.82777,0.792523,0.403054,40,1,0,-1.40271,0,5.68981,-1.51756,-0.796673,-0.0127771,-0.0788517,-0.324806,-0.0941383,0.110362,-0.243586,-0.0582899,-0.111088,-0.274193,-0.00084457,0.0831381,-0.324954,11.5035,8.19126,0.308839
