,time,fr_hip_kp,fr_hip_kd,fr_hip_tau,fr_hip_q_r,fr_hip_dq_r,fr_hip_tau_est,fr_hip_q,fr_hip_dq,fr_thigh_kp,fr_thigh_kd,fr_thigh_tau,fr_thigh_q_r,fr_thigh_dq_r,fr_thigh_tau_est,fr_thigh_q,fr_thigh_dq,fr_calf_kp,fr_calf_kd,fr_calf_tau,fr_calf_q_r,fr_calf_dq_r,fr_calf_tau_est,fr_calf_q,fr_calf_dq,fl_hip_kp,fl_hip_kd,fl_hip_tau,fl_hip_q_r,fl_hip_dq_r,fl_hip_tau_est,fl_hip_q,fl_hip_dq,fl_thigh_kp,fl_thigh_kd,fl_thigh_tau,fl_thigh_q_r,fl_thigh_dq_r,fl_thigh_tau_est,fl_thigh_q,fl_thigh_dq,fl_calf_kp,fl_calf_kd,fl_calf_tau,fl_calf_q_r,fl_calf_dq_r,fl_calf_tau_est,fl_calf_q,fl_calf_dq,br_hip_kp,br_hip_kd,br_hip_tau,br_hip_q_r,br_hip_dq_r,br_hip_tau_est,br_hip_q,br_hip_dq,br_thigh_kp,br_thigh_kd,br_thigh_tau,br_thigh_q_r,br_thigh_dq_r,br_thigh_tau_est,br_thigh_q,br_thigh_dq,br_calf_kp,br_calf_kd,br_calf_tau,br_calf_q_r,br_calf_dq_r,br_calf_tau_est,br_calf_q,br_calf_dq,bl_hip_kp,bl_hip_kd,bl_hip_tau,bl_hip_q_r,bl_hip_dq_r,bl_hip_tau_est,bl_hip_q,bl_hip_dq,bl_thigh_kp,bl_thigh_kd,bl_thigh_tau,bl_thigh_q_r,bl_thigh_dq_r,bl_thigh_tau_est,bl_thigh_q,bl_thigh_dq,bl_calf_kp,bl_calf_kd,bl_calf_tau,bl_calf_q_r,bl_calf_dq_r,bl_calf_tau_est,bl_calf_q,bl_calf_dq,fr_foot_x,fr_foot_y,fr_foot_z,fl_foot_x,fl_foot_y,fl_foot_z,br_foot_x,br_foot_y,br_foot_z,bl_foot_x,bl_foot_y,bl_foot_z,robot_x,robot_y,robot_z
4147,4147,40,1,0,0.137632,0,3.26545,0.0617285,-0.22478,40,1,0,0.561821,0,-6.75355,0.796253,-2.86789,40,1,0,-1.33751,0,9.10369,-1.55895,0.0606604,40,1,0,0.0761253,0,1.11322,0.0332521,0.693719,40,1,0,0.745771,0,4.47763,0.513703,5.18933,40,1,0,-1.61391,0,-1.09055,-1.53257,-2.08065,40,1,0,0.034173,0,-1.38534,0.082736,-0.623959,40,1,0,0.714821,0,2.94386,0.496288,6.19696,40,1,0,-1.61695,0,-0.711226,-1.51954,-3.55065,40,1,0,-0.170927,0,-3.90865,-0.0766804,0.0348797,40,1,0,0.631495,0,-0.420551,0.718737,-3.34845,40,1,0,-1.23699,0,9.19852,-1.45916,0.0626824,-0.0066611,-0.0753712,-0.320515,-0.0911787,0.105124,-0.302777,-0.0949517,-0.0693007,-0.313841,-0.0149114,0.0694339,-0.336402,9.25584,5.94786,0.309823
4148,4148,40,1,0,0.137632,0,3.06755,0.0616376,-0.0620084,40,1,0,0.561821,0,-6.50617,0.791651,-2.92215,40,1,0,-1.33751,0,9.10369,-1.55882,0.0829025,40,1,0,0.0761253,0,1.03901,0.0343119,0.600706,40,1,0,0.745771,0,4.30446,0.521272,5.09244,40,1,0,-1.61391,0,-0.806056,-1.53589,-2.15951,40,1,0,0.034173,0,-1.38534,0.0817671,-0.538698,40,1,0,0.714821,0,3.29019,0.504917,5.45286,40,1,0,-1.61695,0,-0.900886,-1.52977,-3.30599,40,1,0,-0.170927,0,-3.95813,-0.0766804,-0.0116266,40,1,0,0.631495,0,-0.14843,0.71368,-3.3407,40,1,0,-1.23699,0,9.29335,-1.45906,0.00202201,-0.00809098,-0.0754012,-0.320494,-0.089263,0.105446,-0.3027,-0.0935314,-0.0697026,-0.312579,-0.0165643,0.0694388,-0.336337,9.25584,5.94786,0.309823
4149,4149,40,1,0,0.137632,0,3.06755,0.0617285,0.00387552,40,1,0,0.561821,0,-6.40722,0.782991,-2.89502,40,1,0,-1.33751,0,9.24593,-1.55877,0.00606604,40,1,0,0.0761253,0,0.964793,0.0354624,0.682092,40,1,0,0.745771,0,2.72121,0.537047,5.67377,40,1,0,-1.61391,0,-0.616396,-1.53922,-2.2869,40,1,0,0.034173,0,-1.36061,0.0800413,-0.507694,40,1,0,0.714821,0,2.8449,0.513243,5.25521,40,1,0,-1.61695,0,-0.806056,-1.53465,-2.9946,40,1,0,-0.170927,0,-3.98286,-0.0764382,0.089137,40,1,0,0.631495,0,-0.0494766,0.708745,-3.31357,40,1,0,-1.23699,0,9.24593,-1.45905,0.0202201,-0.0108126,-0.0753767,-0.320427,-0.0848367,0.10582,-0.303302,-0.0915702,-0.070257,-0.312271,-0.0181902,0.0695267,-0.336237,9.25353,5.94617,0.310129
4150,4150,40,1,0,0.137632,0,3.06755,0.0617588,-0.0232531,40,1,0,0.561821,0,-6.23405,0.779146,-2.64698,40,1,0,-1.33751,0,9.24593,-1.55879,-0.0323522,40,1,0,0.0761253,0,1.03901,0.0364313,0.577453,40,1,0,0.745771,0,2.42435,0.545646,5.72027,40,1,0,-1.61391,0,-0.616396,-1.54558,-2.43652,40,1,0,0.034173,0,-1.06375,0.0790421,-0.709221,40,1,0,0.714821,0,1.83063,0.529442,5.86754,40,1,0,-1.61695,0,-0.331905,-1.53939,-3.21702,40,1,0,-0.170927,0,-3.90865,-0.0764382,0.0271287,40,1,0,0.631495,0,0.0,0.700722,-2.86014,40,1,0,-1.23699,0,9.24593,-1.45905,0.0283082,-0.012027,-0.0753698,-0.320383,-0.0829901,0.106095,-0.302689,-0.0871892,-0.0705278,-0.312721,-0.0208369,0.0695386,-0.336081,9.2522,5.94529,0.310281
4151,4151,40,1,0,0.137632,0,3.04281,0.0619101,0.0620084,40,1,0,0.561821,0,-5.76402,0.774604,-2.80975,40,1,0,-1.33751,0,9.10369,-1.55877,-0.00202201,40,1,0,0.0761253,0,1.26165,0.0371882,0.395303,40,1,0,0.745771,0,1.73168,0.555486,6.20859,40,1,0,-1.61391,0,-0.521565,-1.54928,-2.23432,40,1,0,0.034173,0,-0.989531,0.0777099,-0.794482,40,1,0,0.714821,0,1.38534,0.538858,5.77453,40,1,0,-1.61695,0,-0.142245,-1.54315,-3.14221,40,1,0,-0.170927,0,-3.90865,-0.0764685,0.0,40,1,0,0.631495,0,-0.0247383,0.696422,-2.64698,40,1,0,-1.23699,0,9.24593,-1.45905,0.0363962,-0.0134555,-0.0753248,-0.320339,-0.0804366,0.106328,-0.302698,-0.0847678,-0.0709382,-0.312705,-0.0222546,0.0695355,-0.335991,9.2522,5.94529,0.310281
4152,4152,40,1,0,0.0961076,0,2.77069,0.0626368,0.317793,40,1,0,0.926483,0,-5.24452,0.766641,-3.10817,40,1,0,-1.384,0,9.24593,-1.55879,-0.0202201,40,1,0,0.115446,0,0.989531,0.038581,0.565826,40,1,0,0.808943,0,1.06375,0.570685,6.31323,40,1,0,-1.64349,0,-0.142245,-1.55539,-2.33745,40,1,0,0.0672551,0,-0.989531,0.0757419,-0.654964,40,1,0,0.869206,0,0.86584,0.5467,6.24347,40,1,0,-1.51233,0,0.047415,-1.55209,-3.34643,40,1,0,-0.197543,0,-3.95813,-0.076408,0.0465063,40,1,0,0.918191,0,0.0,0.693061,-2.62373,40,1,0,-0.994094,0,9.24593,-1.45902,0.0303302,-0.0159665,-0.0750994,-0.320274,-0.0765511,0.10675,-0.302568,-0.0834732,-0.0716349,-0.311492,-0.0233573,0.0695613,-0.335915,9.2498,5.94333,0.310573
4153,4153,40,1,0,0.0961076,0,2.74595,0.063091,0.32942,40,1,0,0.926483,0,-5.09609,0.76213,-3.12755,40,1,0,-1.384,0,9.19852,-1.55881,-0.0343742,40,1,0,0.115446,0,0.890578,0.039459,0.542573,40,1,0,0.808943,0,0.86584,0.579163,6.0652,40,1,0,-1.64349,0,-0.0948301,-1.55849,-2.37384,40,1,0,0.0672551,0,-0.989531,0.074773,-0.58908,40,1,0,0.869206,0,0.272121,0.562172,5.97993,40,1,0,-1.51233,0,0.0948301,-1.55647,-3.22107,40,1,0,-0.197543,0,-3.90865,-0.076408,0.0503818,40,1,0,0.918191,0,0.0247383,0.68634,-2.36407,40,1,0,-0.994094,0,9.24593,-1.459,0.0121321,-0.0173897,-0.0749589,-0.32023,-0.0743483,0.107017,-0.302522,-0.0792921,-0.0719059,-0.311833,-0.0255698,0.0695737,-0.335754,9.24739,5.94146,0.310854
4154,4154,40,1,0,0.0961076,0,2.86964,0.0637571,0.193776,40,1,0,0.926483,0,-4.99713,0.757679,-3.03841,40,1,0,-1.384,0,9.10369,-1.55879,-0.0101101,40,1,0,0.115446,0,0.841102,0.0411849,0.515445,40,1,0,0.808943,0,2.22645,0.594847,6.0962,40,1,0,-1.64349,0,0.0948301,-1.56167,-2.37384,40,1,0,0.0672551,0,-1.06375,0.0737133,-0.635586,40,1,0,0.869206,0,0.371074,0.57071,5.65827,40,1,0,-1.51233,0,0.142245,-1.5647,-3.08155,40,1,0,-0.197543,0,-3.90865,-0.076408,0.0465063,40,1,0,0.918191,0,0.0742148,0.682767,-2.44158,40,1,0,-0.994094,0,9.10369,-1.45892,0.0323522,-0.0187884,-0.0747505,-0.320203,-0.0699479,0.107561,-0.302864,-0.0777189,-0.0723038,-0.310843,-0.0267337,0.0695799,-0.335673,9.24739,5.94146,0.310854
4155,4155,40,1,0,0.0961076,0,1.4843,0.0638782,0.0348797,40,1,0,0.926483,0,4.3292,0.756014,1.06189,40,1,0,-1.384,0,7.58641,-1.55881,-0.0404403,40,1,0,0.115446,0,2.0038,0.0422446,0.70147,40,1,0,0.808943,0,1.45956,0.604596,6.62327,40,1,0,-1.64349,0,-0.521565,-1.56498,-2.33947,40,1,0,0.0672551,0,-0.14843,0.072593,-0.271287,40,1,0,0.869206,0,4.37868,0.579612,6.34036,40,1,0,-1.51233,0,3.50871,-1.56874,-2.82071,40,1,0,-0.197543,0,-4.74975,-0.0767713,-0.178274,40,1,0,0.918191,0,8.6584,0.68086,-0.99601,40,1,0,-0.994094,0,17.022,-1.45859,0.325544,-0.0193151,-0.0747139,-0.320177,-0.0673895,0.107884,-0.302793,-0.0755164,-0.072659,-0.310666,-0.0273076,0.0694577,-0.3357,9.24629,5.94054,0.310981
4156,4156,40,1,0,0.0961076,0,1.50904,0.0636662,-0.139519,40,1,0,0.926483,0,3.26545,0.759799,2.82526,40,1,0,-1.384,0,7.49158,-1.55892,-0.0950346,40,1,0,0.115446,0,1.78116,0.0438493,1.11228,40,1,0,0.808943,0,0.989531,0.614709,6.72403,40,1,0,-1.64349,0,-0.711226,-1.57151,-2.48505,40,1,0,0.0672551,0,-0.173168,0.0723205,-0.14727,40,1,0,0.869206,0,2.12749,0.60235,8.32075,40,1,0,-1.51233,0,3.4613,-1.57214,-2.31723,40,1,0,-0.197543,0,-4.74975,-0.0770741,-0.189901,40,1,0,0.918191,0,7.02567,0.685977,2.17417,40,1,0,-0.994094,0,16.4056,-1.45711,1.08582,-0.0181414,-0.0747785,-0.320214,-0.0651493,0.108345,-0.302062,-0.0690146,-0.0726718,-0.311638,-0.0253771,0.0693273,-0.336094,9.24629,5.94054,0.310981
